,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
Gender,0.013155057261896143,-0.004095218902090566,0.002994870184098791,-0.017944990562882138,-0.04453300974130659,-0.009206239390142482,-0.12243175647903023,0.4920507025245601,0.3411306965819301,-0.07230837665080919,-0.0024247899939724214,-0.1393684083246182,0.0776652560944619,0.1644164591199028
Tenure_Months,-0.002169879037177255,-0.01210172587468849,-0.0019865970662774706,0.02370735204666628,-0.045367659229815796,0.022041913731894444,-0.15082787564117425,0.10275473934009195,0.20115711781396126,-0.3474203491182333,-0.043424684655658796,-0.30945442453527333,-0.14346793006587785,0.6545184587211836
Quantity,0.044919861644904135,0.7556766463107449,0.13779414440031693,0.03045136111152658,0.022533673001429853,-0.1039825502711778,0.08482286821833217,0.07845249637663493,-0.18152629270243742,-0.1119267697883441,-0.06003584077421174,-0.014020297543731942,-0.03602762704250883,0.0968857998918295
Avg_Price,0.8911494625405995,-0.24820909728257884,-0.039515943036072296,0.025993922192904532,-0.013509186042752357,0.2161714372371825,-0.013322744377562586,-0.007223672661659664,0.009460541160928551,-0.010641401462557857,-0.023980692615777403,0.023450695397520514,-0.003087751656017436,-0.033250108201478244
Delivery_Charges,0.010653671343741851,0.6529383036631154,0.13229427807911334,-0.11592634742912326,-0.0031751806327054524,-0.14433345127480246,-0.014981253075583345,0.005312853061527957,0.0359584328039386,0.07782219545084482,0.03464340512683874,-0.10197671101336347,0.07626955901063764,-0.02102633068515562
Discount_pct,0.01810968779698099,-0.03502688805375539,0.006359466123614572,0.018576562487802598,0.07127032038031395,0.10681060912508053,-0.14111878173100204,-0.3006614268579704,0.24393180177503299,-0.3222020867364061,-0.12349995167809505,-0.3252185429950632,0.19018521480754766,0.06327526105432267
GST,-0.6700807210427683,0.0040875790781555845,-0.026988597009780298,-0.6494179770262207,-0.12258188389816135,0.13699713917839945,0.024856137862270665,0.020932520866289668,-0.055926713742907655,-0.05728506936040903,-0.04517808206668156,0.042082243215025864,-0.003025777297172255,0.01878292912058998
Invoice_Value,0.7796390484537362,0.37138973999059,-0.03968016537696734,-0.00016116530392041388,-0.012612125538265202,0.2872465818914355,0.08696273284349254,0.12160383300282651,-0.21370045542013016,-0.019199525806191713,0.023879587890919183,0.09211849764962436,-0.05443248515957821,0.14823757318425976
Location_1,0.0014429211202846891,0.03635935708351718,-0.032138235107306096,0.14916990540122008,-0.8259947009378366,-0.059958125201920676,-0.38918051334005377,-0.07677824920853922,-0.14751283774088406,-0.007830720142470177,-0.024565367872275326,0.03361450674916756,0.01013675883296193,0.016052286311424798
Location_2,-0.0040645458060857365,0.0007498021866834023,0.0384703042395842,-0.15055512833289353,0.8570725553984737,0.06113559577518263,-0.32597571225158806,0.00471499551162806,-0.12057345141550034,-0.009527399567720803,-0.012769777327180504,-0.008404246519992739,-0.006635400745300071,0.018588117053761826
Location_3,0.0012752745182364783,-0.023515832984691818,-0.016749813992220735,-0.00706641625388419,-0.04098163243176845,0.029673957996392535,0.8096493305634198,-0.3912196553071387,0.12025426737752964,0.005003486981257061,0.033626349738377324,-0.17146504950973138,0.058537979989822325,0.19421906242723513
Location_4,0.017321403530184565,-0.022473378635157703,-0.0017679773961302174,-0.008118149748402468,-0.046389130529965704,-0.0183308025806655,0.3220599853495017,0.6504389332938512,0.4217854230433682,-0.046835743221697014,0.010274430039189028,0.09494654273568805,-0.08261167587338406,-0.2327421387956484
